Date,Largest 4 Longs; Gross,Largest 4 Shorts; Gross,Largest 8 Longs; Gross,Largest 8 Shorts; Gross,Largest 4 Longs; Net,Largest 4 Shorts; Net,Largest 8 Longs; Net,Largest 8 Shorts; Net
2017-12-26,51.1,37.1,61.8,47.3,49.8,36.8,59.5,47.0
2017-12-19,51.1,35.6,61.9,44.9,49.9,35.6,59.6,44.9
2017-12-12,43.9,32.3,58.7,41.7,38.6,31.4,51.3,38.7
2017-12-05,45.3,32.2,60.8,41.5,39.5,30.7,53.1,39.2
2017-11-28,45.8,32.1,61.6,41.5,40.6,31.5,54.9,39.7
2017-11-21,46.9,33.9,63.5,43.7,41.4,32.7,56.9,41.4
2017-11-14,45.0,35.5,64.9,44.7,40.0,34.1,58.7,43.0
2017-11-07,44.5,36.3,65.4,45.7,39.3,34.6,59.1,43.0
2017-10-31,42.3,34.8,61.1,44.1,36.5,32.8,54.5,41.8
2017-10-24,41.2,34.4,60.2,43.2,36.9,32.8,53.7,40.7
2017-10-17,40.4,37.3,57.6,47.9,36.4,35.9,51.1,45.2
2017-10-10,39.0,36.6,56.1,47.8,35.3,35.7,49.6,44.9
2017-10-03,36.6,33.3,52.8,43.7,33.7,30.9,45.2,38.9
2017-09-26,37.4,33.1,51.0,43.4,34.7,31.0,44.8,38.7
2017-09-19,39.0,36.6,49.8,47.0,36.5,35.1,45.2,42.8
2017-09-12,37.7,35.8,50.1,45.9,34.5,34.6,43.7,43.5
2017-09-05,39.0,36.3,50.9,48.1,35.9,35.6,45.6,47.4
2017-08-29,40.2,39.4,52.0,49.9,38.1,38.7,47.1,49.1
2017-08-22,41.4,39.3,53.2,49.5,39.2,38.6,48.1,48.3
2017-08-15,42.7,39.3,54.6,49.3,39.9,38.7,48.5,47.8
2017-08-08,47.0,41.0,57.6,51.0,44.7,40.4,54.3,49.9
2017-08-01,46.3,37.6,58.6,47.5,43.4,37.5,54.1,47.0
2017-07-25,48.8,40.8,60.9,49.5,46.1,40.5,56.8,49.3
