Date,Actual,Forecast,Previous,,
"Dec 08, 2017 (Nov)",228K,200K,244K,,
"Nov 03, 2017 (Oct)",261K,310K,18K,,
"Oct 06, 2017 (Sep)",-33K,90K,169K,,
"Sep 01, 2017 (Aug)",156K,180K,189K,,
"Aug 04, 2017 (Jul)",209K,183K,231K,,
"Jul 07, 2017 (Jun)",222K,179K,152K,,
"Jun 02, 2017 (May)",138K,185K,174K,,
"May 05, 2017 (Apr)",211K,185K,79K,,
"Apr 07, 2017 (Mar)",98K,180K,219K,,
"Mar 10, 2017 (Feb)",235K,200K,238K,,
"Feb 03, 2017 (Jan)",227K,175K,157K,,
"Jan 06, 2017 (Dec)",156K,178K,204K,,
"Dec 02, 2016 (Nov)",178K,175K,142K,,
"Nov 04, 2016 (Oct)",161K,175K,191K,,
"Oct 07, 2016 (Sep)",156K,175K,167K,,
"Sep 02, 2016 (Aug)",151K,180K,275K,,
"Aug 05, 2016 (Jul)",255K,180K,292K,,
"Jul 08, 2016 (Jun)",287K,175K,11K,,
"Jun 03, 2016 (May)",38K,164K,123K,,
"May 06, 2016 (Apr)",160K,202K,208K,,
"Apr 01, 2016 (Mar)",215K,205K,245K,,
"Mar 04, 2016 (Feb)",242K,190K,172K,,
"Feb 05, 2016 (Jan)",151K,190K,262K,,
"Jan 08, 2016 (Dec)",292K,200K,252K,,
